Date,Open,High,Low,Close,Volume
6-Nov-14,76.97,77.55,76.66,77.45,3083638
5-Nov-14,77.01,77.39,76.59,76.66,3701698
4-Nov-14,75.61,76.94,75.50,76.71,5210382
3-Nov-14,75.97,76.27,75.47,76.10,5303468
31-Oct-14,75.25,76.74,74.92,75.56,17944954
30-Oct-14,76.18,77.45,76.11,77.32,6694485
29-Oct-14,77.10,77.66,76.22,76.54,4397451
28-Oct-14,76.34,77.07,75.88,77.05,4075494
27-Oct-14,76.01,76.38,75.82,75.97,2898138
24-Oct-14,74.90,75.91,74.35,75.81,3679517
23-Oct-14,75.15,75.51,74.76,74.84,3418865
22-Oct-14,74.48,74.98,74.16,74.60,3234835
21-Oct-14,75.00,75.18,74.14,74.36,6156465
20-Oct-14,73.61,74.75,73.40,74.70,3978514
17-Oct-14,73.35,73.91,72.88,73.54,4790530
16-Oct-14,71.18,72.87,70.77,72.64,4869416
15-Oct-14,72.03,72.93,71.27,72.38,6811004
14-Oct-14,72.41,73.58,72.21,72.74,5497511
13-Oct-14,74.21,74.44,72.01,72.19,6215707
10-Oct-14,74.26,75.79,74.10,74.46,5247970
9-Oct-14,75.04,75.82,74.36,74.48,4671914
8-Oct-14,74.24,75.42,73.63,75.26,3358154
7-Oct-14,74.90,75.05,74.02,74.05,3191716
6-Oct-14,76.02,76.23,75.10,75.14,2610874
3-Oct-14,74.80,76.10,74.77,75.89,4114584
2-Oct-14,74.41,75.00,73.78,74.45,4286760
1-Oct-14,75.68,75.91,74.41,74.61,4059532
30-Sep-14,75.56,75.85,75.02,75.46,3900452
29-Sep-14,74.55,75.52,74.45,75.27,3188263
26-Sep-14,74.00,75.23,73.94,75.17,3829897
25-Sep-14,75.18,75.28,74.09,74.12,4005407
24-Sep-14,74.53,75.43,74.35,75.32,4299857
23-Sep-14,74.29,74.88,73.78,73.96,3869693
22-Sep-14,76.05,76.05,74.33,74.60,3929823
19-Sep-14,75.97,76.33,75.77,76.07,6020363
18-Sep-14,75.59,75.89,75.00,75.73,4014457
17-Sep-14,75.34,75.82,75.10,75.34,3737865
16-Sep-14,74.84,75.45,74.53,75.09,4020607
15-Sep-14,75.26,75.34,74.39,74.92,5422854
12-Sep-14,75.83,76.07,74.94,75.47,7309674
11-Sep-14,76.98,77.00,76.08,76.12,4682812
10-Sep-14,77.01,77.40,76.75,77.21,2959336
9-Sep-14,77.45,77.75,76.98,77.12,2557286
8-Sep-14,77.76,77.96,77.33,77.67,2246388
5-Sep-14,77.01,77.97,76.81,77.95,4013304
4-Sep-14,76.80,77.37,76.76,77.16,2874895
3-Sep-14,77.56,77.93,76.70,76.79,3398368
2-Sep-14,77.70,77.98,77.16,77.48,3098734
29-Aug-14,78.07,78.10,77.52,77.81,2328678
28-Aug-14,77.79,78.03,77.51,77.81,1979016
27-Aug-14,77.91,78.27,77.66,77.92,2452009
26-Aug-14,78.01,78.43,77.76,77.79,2756928
25-Aug-14,77.64,78.22,77.51,77.97,2849161
22-Aug-14,77.24,77.60,77.05,77.28,2276164
21-Aug-14,77.81,78.17,77.39,77.47,2405996
20-Aug-14,78.01,78.47,77.74,78.03,2334379
19-Aug-14,77.80,78.20,77.60,78.12,2459515
18-Aug-14,77.19,77.86,77.18,77.59,3422708
15-Aug-14,77.22,77.28,76.37,76.91,4045022
14-Aug-14,77.48,77.50,76.16,76.62,5446291
13-Aug-14,78.10,78.10,77.13,77.24,3467572
12-Aug-14,77.87,78.14,77.52,77.82,2361922
11-Aug-14,77.67,78.25,77.65,77.87,2261200
8-Aug-14,76.63,77.67,76.51,77.62,2978994
7-Aug-14,77.33,77.44,76.56,76.71,2713982
6-Aug-14,76.50,77.44,76.27,77.13,2967609
5-Aug-14,77.17,77.46,76.43,76.79,3348200
4-Aug-14,77.26,77.76,77.03,77.53,3141337
1-Aug-14,77.50,77.89,76.58,76.98,3899093
31-Jul-14,78.52,78.70,77.52,77.68,4073792
30-Jul-14,79.00,79.18,78.52,78.90,4455854
29-Jul-14,78.49,79.25,78.41,78.65,3968624
28-Jul-14,78.80,79.00,78.17,78.36,4006462
25-Jul-14,78.40,79.32,78.00,78.74,9492183
24-Jul-14,79.59,80.64,79.15,80.45,8064643
23-Jul-14,78.51,79.28,78.40,79.14,3225140
22-Jul-14,78.33,79.03,78.20,78.74,3228622
21-Jul-14,77.86,77.93,77.17,77.61,2510929
18-Jul-14,77.70,78.15,77.25,77.94,3372260
17-Jul-14,78.12,78.46,77.12,77.24,4223175
16-Jul-14,79.06,79.06,78.31,78.73,4367129
15-Jul-14,78.65,79.15,78.46,78.89,4184864
14-Jul-14,78.98,78.98,78.42,78.56,2281060
11-Jul-14,78.96,78.99,78.14,78.60,2127384
10-Jul-14,78.61,79.05,78.19,78.85,2360381
9-Jul-14,78.54,79.48,78.36,79.45,3891722
8-Jul-14,78.64,78.90,78.25,78.56,3901040
7-Jul-14,78.78,79.38,78.61,78.69,3721962
3-Jul-14,78.39,79.40,78.14,79.06,3331308
2-Jul-14,78.38,78.41,77.91,78.19,2397309
1-Jul-14,77.89,78.20,77.60,78.08,4036944
30-Jun-14,78.10,78.19,77.08,77.38,4805124
27-Jun-14,77.96,78.35,77.79,77.94,4334634
26-Jun-14,78.01,78.33,77.47,78.06,3491633
25-Jun-14,77.04,78.18,76.96,78.12,3906917
24-Jun-14,76.90,77.75,76.54,77.43,5456151
23-Jun-14,76.69,76.80,76.19,76.73,2390115
20-Jun-14,77.63,77.63,76.41,76.60,6223297
19-Jun-14,76.55,77.50,76.46,77.23,6277539
18-Jun-14,75.20,75.68,74.60,75.56,2893285
17-Jun-14,75.03,75.65,74.99,75.31,2889300
16-Jun-14,74.48,75.16,74.46,75.09,3379838
13-Jun-14,73.87,74.90,73.53,74.69,3864149
12-Jun-14,74.69,74.70,73.73,73.96,3596874
11-Jun-14,74.14,74.87,73.85,74.80,3755433
10-Jun-14,75.25,75.44,74.32,74.60,3320456
9-Jun-14,75.38,75.40,74.65,75.18,2850509
6-Jun-14,75.06,75.54,74.80,75.33,3102353
5-Jun-14,74.36,75.14,74.20,74.72,2594383
4-Jun-14,74.12,74.70,73.64,74.67,3247852
3-Jun-14,73.72,74.35,73.58,74.18,3384177
2-Jun-14,73.22,74.06,73.16,73.85,2963078
30-May-14,73.16,73.50,72.53,73.24,3439767
29-May-14,73.52,73.56,72.65,73.11,3224439
28-May-14,73.30,73.57,72.92,73.27,4106015
27-May-14,72.64,73.78,72.54,73.66,5050199
23-May-14,72.29,72.51,71.83,71.98,3583155
22-May-14,70.35,71.77,70.30,71.40,3679818
21-May-14,70.71,70.75,70.07,70.40,3044643
20-May-14,70.76,70.90,69.84,70.23,4349939
