Date,Open,High,Low,Close,Volume
25-Aug-14,176.71,179.86,176.46,177.87,3065874
22-Aug-14,175.35,176.98,174.83,175.47,2681967
21-Aug-14,174.24,175.92,173.44,175.15,2080344
20-Aug-14,173.27,174.18,172.60,174.03,1755660
19-Aug-14,174.91,175.10,173.63,173.96,1922140
18-Aug-14,173.25,174.63,172.70,174.55,1877745
15-Aug-14,172.84,174.60,171.44,171.90,2445958
14-Aug-14,172.80,173.10,171.69,172.73,1431363
13-Aug-14,172.40,172.89,171.27,172.37,1711054
12-Aug-14,171.78,173.11,171.38,172.33,1362909
11-Aug-14,172.75,173.41,171.62,172.46,2098048
8-Aug-14,169.35,172.49,168.68,172.26,2260041
7-Aug-14,170.30,171.07,168.74,169.10,1928415
6-Aug-14,168.15,170.85,168.02,169.74,1720708
5-Aug-14,171.30,171.77,168.89,169.42,2746184
4-Aug-14,170.57,171.89,170.05,171.69,2103904
1-Aug-14,172.38,172.76,169.40,170.25,3140151
31-Jul-14,174.44,175.27,172.79,172.87,3797945
30-Jul-14,175.96,177.48,175.36,175.76,2354131
29-Jul-14,176.17,177.11,175.45,175.54,3064960
28-Jul-14,175.00,176.46,174.67,175.95,2303365
25-Jul-14,175.91,176.46,174.72,175.40,2123177
24-Jul-14,176.80,177.32,175.61,176.26,2012767
23-Jul-14,175.21,177.22,174.62,176.82,3445183
22-Jul-14,172.38,175.38,172.38,175.02,3850689
21-Jul-14,170.17,172.10,170.05,171.72,2235585
18-Jul-14,170.41,171.79,169.65,171.47,2564222
17-Jul-14,170.21,171.60,168.92,170.14,3815487
16-Jul-14,169.20,170.99,169.00,170.47,3305227
15-Jul-14,169.70,170.15,167.15,169.17,4831795
14-Jul-14,167.18,167.72,166.46,167.00,3007711
11-Jul-14,163.02,165.14,162.38,164.80,2293327
10-Jul-14,162.22,163.78,161.53,163.42,2204137
9-Jul-14,165.24,165.33,163.63,164.67,1943880
8-Jul-14,166.74,166.78,163.73,164.91,2429360
7-Jul-14,168.97,168.97,166.90,167.78,1774012
3-Jul-14,167.83,169.90,167.72,169.46,1801184
2-Jul-14,167.00,167.81,166.57,166.89,1877603
1-Jul-14,166.35,168.27,166.06,166.81,2947811
30-Jun-14,166.87,167.91,166.37,167.44,1888923
27-Jun-14,167.25,167.65,166.37,166.78,3111220
26-Jun-14,167.00,168.11,166.37,168.01,2131196
25-Jun-14,167.82,169.02,167.40,168.38,1601762
24-Jun-14,169.55,170.55,167.95,168.23,1608028
23-Jun-14,170.18,170.62,169.21,170.24,1747482
